Area,Baths,Bedrooms,Location,Price,Purpose,Type
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,16.5 Crore",For Sale,House
200 Sq. Yd.,6,6,"Gadap Town, Karachi, Sindh","PKR,3.6 Crore",For Sale,House
400 Sq. Yd.,8,7,"Federal B Area, Karachi, Sindh","PKR,10.5 Crore",For Sale,House
120 Sq. Yd.,5,5,"Scheme 33, Karachi, Sindh","PKR,2.25 Crore",For Sale,House
250 Sq. Yd.,6,5,"Bahria Town Karachi, Karachi, Sindh","PKR,3.1 Crore",For Sale,House
500 Sq. Yd.,5,5,"Bahria Town Karachi, Karachi, Sindh","PKR,3.9 Crore",For Sale,House
500 Sq. Yd.,5,4,"North Nazimabad, Karachi, Sindh","PKR,10 Crore",For Sale,House
500 Sq. Yd.,5,5,"Bahria Town Karachi, Karachi, Sindh","PKR,4.3 Crore",For Sale,House
200 Sq. Yd.,6,6,"Gadap Town, Karachi, Sindh","PKR,3.6 Crore",For Sale,House
275 Sq. Yd.,5,5,"Bahria Town Karachi, Karachi, Sindh","PKR,3.5 Crore",For Sale,House
125 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,1.4 Crore",For Sale,House
100 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,4 Crore",For Sale,House
500 Sq. Yd.,6,6,"Bahria Town Karachi, Karachi, Sindh","PKR,8.5 Crore",For Sale,House
600 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,23 Crore",For Sale,House
500 Sq. Yd.,6,6,"Bahria Town Karachi, Karachi, Sindh","PKR,5 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,5.1 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,5.1 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,36 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,21 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,17 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,3.8 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,1.85 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,1.85 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,1.85 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,2.4 Crore",For Sale,House
120 Sq. Yd.,3,2,"Scheme 33, Karachi, Sindh","PKR,1.6 Crore",For Sale,House
300 Sq. Yd.,3,3,"DHA Defence, Karachi, Sindh","PKR,7.5 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,3.65 Crore",For Sale,House
120 Sq. Yd.,4,4,"Naya Nazimabad, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
