Area,Baths,Bedrooms,Location,Price,Purpose,Type
200 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,3 Crore",For Sale,House
200 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,2.75 Crore",For Sale,House
120 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,2.1 Crore",For Sale,House
200 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
400 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,6 Crore",For Sale,House
120 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,1.9 Crore",For Sale,House
400 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,6 Crore",For Sale,House
200 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,3 Crore",For Sale,House
200 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,3 Crore",For Sale,House
200 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,2.75 Crore",For Sale,House
200 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
150 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,1.55 Crore",For Sale,House
145 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,21 Crore",For Sale,House
120 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,1.9 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.32 Crore",For Sale,House
500 Sq. Yd.,,5,,"PKR,25 Crore,PKR,10,PKR,175","DHA Defence, Karachi, Sindh",House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,2.12 Crore",For Sale,House
600 Sq. Yd.,6,8,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,6.6 Crore",For Sale,House
235 Sq. Yd.,-,3,"Bahria Town Karachi, Karachi, Sindh","PKR,3.3 Crore",For Sale,House
120 Sq. Yd.,4,4,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,2.6 Crore",For Sale,House
120 Sq. Yd.,4,4,"Federal B Area, Karachi, Sindh","PKR,3.1 Crore",For Sale,House
125 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.35 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,36 Crore",For Sale,House
235 Sq. Yd.,4,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.25 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.45 Crore",For Sale,House
350 Sq. Yd.,5,4,"Bahria Town Karachi, Karachi, Sindh","PKR,2.05 Crore",For Sale,House
235 Sq. Yd.,4,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.35 Crore",For Sale,House
250 Sq. Yd.,6,7,"Amir Khusro, Karachi, Sindh","PKR,10 Crore",For Sale,House
200 Sq. Yd.,6,6,"Gadap Town, Karachi, Sindh","PKR,3.25 Crore",For Sale,House
,-,-,"Korangi, Karachi, Sindh","PKR,3.5 Crore",For Sale,House
125 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.35 Crore",For Sale,House
,-,-,"Korangi, Karachi, Sindh","PKR,5.5 Crore",For Sale,House
120 Sq. Yd.,2,2,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,1.7 Crore",For Sale,House
,4,4,"Scheme 33, Karachi, Sindh","PKR,2 Crore",For Sale,House
400 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,8 Crore",For Sale,House
,6,6,"Scheme 33, Karachi, Sindh","PKR,5.25 Crore",For Sale,House
,4,4,"Rufi Rose Petals, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
200 Sq. Yd.,-,9,"Scheme 33, Karachi, Sindh","PKR,5.1 Crore",For Sale,House
400 Sq. Yd.,6,6,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,6.75 Crore",For Sale,House
120 Sq. Yd.,5,4,"Gadap Town, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.1 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,5.5 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.25 Crore",For Sale,House
200 Sq. Yd.,6,6,"North Nazimabad, Karachi, Sindh","PKR,3.75 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
550 Sq. Yd.,-,-,"Cantt, Karachi, Sindh","PKR,13 Crore",For Sale,House
550 Sq. Yd.,-,-,"Cantt, Karachi, Sindh","PKR,14 Crore",For Sale,House
550 Sq. Yd.,-,-,"Cantt, Karachi, Sindh","PKR,13 Crore",For Sale,House
100 Sq. Yd.,3,3,"DHA Defence, Karachi, Sindh","PKR,3.36 Crore",For Sale,House
550 Sq. Yd.,-,-,"Cantt, Karachi, Sindh","PKR,12.5 Crore",For Sale,House
240 Sq. Yd.,4,4,"Cantt, Karachi, Sindh","PKR,5 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.45 Crore",For Sale,House
120 Sq. Yd.,4,4,"Cantt, Karachi, Sindh","PKR,4.5 Crore",For Sale,House
120 Sq. Yd.,4,4,"Cantt, Karachi, Sindh","PKR,3.5 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
400 Sq. Yd.,6,6,"North Nazimabad, Karachi, Sindh","PKR,8 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.32 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
120 Sq. Yd.,4,3,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,2.15 Crore",For Sale,House
240 Sq. Yd.,6,6,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,5.2 Crore",For Sale,House
250 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,3.1 Crore",For Sale,House
240 Sq. Yd.,6,9,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,7.9 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,2.12 Crore",For Sale,House
100 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,4 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.62 Crore",For Sale,House
200 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,4.55 Crore",For Sale,House
117 Sq. Yd.,2,2,"Khayaban-e-Ittehad Road, Karachi, Sindh","PKR,1.15 Crore",For Sale,House
120 Sq. Yd.,6,4,"Scheme 33, Karachi, Sindh","PKR,2.6 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,35 Crore",For Sale,House
200 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,4.15 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,19.75 Crore",For Sale,House
120 Sq. Yd.,3,3,"Scheme 33, Karachi, Sindh","PKR,3.2 Crore",For Sale,House
240 Sq. Yd.,6,7,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,6.5 Crore",For Sale,House
604 Sq. Yd.,10,6,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,21 Crore",For Sale,House
250 Sq. Yd.,6,7,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,7.5 Crore",For Sale,House
800 Sq. Yd.,6,7,"DHA Defence, Karachi, Sindh","PKR,29 Crore",For Sale,House
500 Sq. Yd.,-,6,"DHA Defence, Karachi, Sindh","PKR,10.7 Crore",For Sale,House
240 Sq. Yd.,6,6,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,5.8 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.67 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.45 Crore",For Sale,House
310 Sq. Yd.,,3,,"PKR,3 Crore,PKR,3 Lakh,PKR,8 Lakh","DHA City Karachi, Karachi, Sindh",House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,2.25 Crore",For Sale,House
"2,789 Sq. Yd.",,3,,"PKR,3 Crore,PKR,30 Lakh,PKR,8 Lakh","DHA City Karachi, Karachi, Sindh",House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.6 Crore",For Sale,House
120 Sq. Yd.,2,2,"Naya Nazimabad, Karachi, Sindh","PKR,2.1 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.65 Crore",For Sale,House
244 Sq. Yd.,5,5,"Jamshed Town, Karachi, Sindh","PKR,4.76 Crore",For Sale,House
333 Sq. Yd.,4,3,"DHA Defence, Karachi, Sindh","PKR,12 Crore",For Sale,House
120 Sq. Yd.,2,2,"Naya Nazimabad, Karachi, Sindh","PKR,2.1 Crore",For Sale,House
240 Sq. Yd.,-,7,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,5.8 Crore",For Sale,House
240 Sq. Yd.,-,7,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,5.8 Crore",For Sale,House
120 Sq. Yd.,-,-,"Malir, Karachi, Sindh","PKR,1.2 Crore",For Sale,House
550 Sq. Yd.,6,6,"Cantt, Karachi, Sindh","PKR,13 Crore",For Sale,House
800 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,29 Crore",For Sale,House
350 Sq. Yd.,4,4,"Cantt, Karachi, Sindh","PKR,6.8 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,1.85 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.67 Crore",For Sale,House
80 Sq. Yd.,2,2,"Korangi, Karachi, Sindh","PKR,35 Lakh",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.4 Crore",For Sale,House
200 Sq. Yd.,4,4,"Gadap Town, Karachi, Sindh","PKR,2.1 Crore",For Sale,House
80 Sq. Yd.,1,2,"Korangi, Karachi, Sindh","PKR,30 Lakh",For Sale,House
40 Sq. Yd.,2,2,"Korangi, Karachi, Sindh","PKR,21 Lakh",For Sale,House
40 Sq. Yd.,2,2,"Korangi, Karachi, Sindh","PKR,21 Lakh",For Sale,House
240 Sq. Yd.,6,6,"North Karachi, Karachi, Sindh","PKR,4 Crore",For Sale,House
233 Sq. Yd.,6,9,"North Nazimabad, Karachi, Sindh","PKR,5.5 Crore",For Sale,House
80 Sq. Yd.,2,3,"Korangi, Karachi, Sindh","PKR,32 Lakh",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.67 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
350 Sq. Yd.,5,5,"Zamzama, Karachi, Sindh","PKR,25 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.45 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,2.2 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.6 Crore",For Sale,House
600 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,7 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.65 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,1.85 Crore",For Sale,House
120 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,4.95 Crore",For Sale,House
500 Sq. Yd.,5,5,"Bahria Town Karachi, Karachi, Sindh","PKR,3.95 Crore",For Sale,House
200 Sq. Yd.,3,4,"Gadap Town, Karachi, Sindh","PKR,2.05 Crore",For Sale,House
120 Sq. Yd.,2,2,"Gadap Town, Karachi, Sindh","PKR,1.4 Crore",For Sale,House
200 Sq. Yd.,6,6,"Gadap Town, Karachi, Sindh","PKR,3.5 Crore",For Sale,House
300 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,6.7 Crore",For Sale,House
125 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.33 Crore",For Sale,House
600 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,11 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.8 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,1.85 Crore",For Sale,House
272 Sq. Yd.,6,5,"Bahria Town Karachi, Karachi, Sindh","PKR,3.5 Crore",For Sale,House
109 Sq. Yd.,2,2,"North Karachi, Karachi, Sindh","PKR,55 Lakh",For Sale,House
240 Sq. Yd.,6,5,"Gadap Town, Karachi, Sindh","PKR,3.9 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.42 Crore",For Sale,House
120 Sq. Yd.,3,4,"Malir, Karachi, Sindh","PKR,10.06 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.4 Crore",For Sale,House
427 Sq. Yd.,6,5,"Cantt, Karachi, Sindh","PKR,9.5 Crore",For Sale,House
350 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.8 Crore",For Sale,House
200 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,3.8 Crore",For Sale,House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.3 Crore",For Sale,House
400 Sq. Yd.,6,6,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,7.75 Crore",For Sale,House
600 Sq. Yd.,6,6,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,10 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.35 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.67 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,2.25 Crore",For Sale,House
450 Sq. Yd.,6,7,"North Nazimabad, Karachi, Sindh","PKR,8 Crore",For Sale,House
233 Sq. Yd.,6,6,"North Nazimabad, Karachi, Sindh","PKR,6.75 Crore",For Sale,House
444 Sq. Yd.,6,7,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,12.5 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,14.5 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.68 Crore",For Sale,House
178 Sq. Yd.,3,3,"Tariq Road, Karachi, Sindh","PKR,2.25 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.62 Crore",For Sale,House
600 Sq. Yd.,3,3,"DHA Defence, Karachi, Sindh","PKR,8.5 Crore",For Sale,House
"1,000 Sq. Yd.",4,4,"DHA Defence, Karachi, Sindh","PKR,13.5 Crore",For Sale,House
233 Sq. Yd.,4,5,"Jamshed Road, Karachi, Sindh","PKR,2.7 Crore",For Sale,House
211 Sq. Yd.,3,3,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,5 Crore",For Sale,House
127 Sq. Yd.,3,2,"Callachi Cooperative Housing Society, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
267 Sq. Yd.,4,4,"Jamshed Town, Karachi, Sindh","PKR,4.5 Crore",For Sale,House
"1,000 Sq. Yd.",6,1,"DHA Defence, Karachi, Sindh","PKR,33 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,35 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,16 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,1.95 Crore",For Sale,House
500 Sq. Yd.,5,5,"Bahria Town Karachi, Karachi, Sindh","PKR,3.8 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,10 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,1.85 Crore",For Sale,House
120 Sq. Yd.,2,2,"Scheme 33, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,24 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,13.5 Crore",For Sale,House
272 Sq. Yd.,6,5,"Bahria Town Karachi, Karachi, Sindh","PKR,4.3 Crore",For Sale,House
150 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,6 Crore",For Sale,House
22 Sq. Yd.,5,5,"Cantt, Karachi, Sindh","PKR,3.45 Crore",For Sale,House
450 Sq. Yd.,6,6,"Tipu Sultan Road, Karachi, Sindh","PKR,12 Crore",For Sale,House
500 Sq. Yd.,6,5,"Bahria Town Karachi, Karachi, Sindh","PKR,5.1 Crore",For Sale,House
272 Sq. Yd.,6,5,"Bahria Town Karachi, Karachi, Sindh","PKR,4.1 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,2.15 Crore",For Sale,House
200 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,4.75 Crore",For Sale,House
125 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
756 Sq. Yd.,,5,,"PKR,30 Crore,PKR,1.5 Crore,PKR,42 Lakh","DHA Defence, Karachi, Sindh",House
120 Sq. Yd.,4,4,"Scheme 33, Karachi, Sindh","PKR,2.95 Crore",For Sale,House
200 Sq. Yd.,3,3,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,3.5 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,4.1 Crore",For Sale,House
500 Sq. Yd.,6,9,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,11 Crore",For Sale,House
200 Sq. Yd.,-,8,"Gadap Town, Karachi, Sindh","PKR,3.4 Crore",For Sale,House
300 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,11 Crore",For Sale,House
350 Sq. Yd.,5,4,"Cantt, Karachi, Sindh","PKR,9 Crore",For Sale,House
120 Sq. Yd.,4,4,"Naya Nazimabad, Karachi, Sindh","PKR,2.9 Crore",For Sale,House
100 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,4.5 Crore",For Sale,House
240 Sq. Yd.,3,3,"Scheme 33, Karachi, Sindh","PKR,2.7 Crore",For Sale,House
240 Sq. Yd.,6,7,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,4.25 Crore",For Sale,House
,-,-,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,23.5 Crore",For Sale,House
500 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,12.5 Crore",For Sale,House
,-,-,"Amir Khusro, Karachi, Sindh","PKR,15 Crore",For Sale,House
"4,000 Sq. Yd.",6,9,"DHA Defence, Karachi, Sindh","PKR,80 Crore",For Sale,House
,-,-,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,29 Crore",For Sale,House
400 Sq. Yd.,6,6,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,10 Crore",For Sale,House
,-,-,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,14 Crore",For Sale,House
120 Sq. Yd.,4,4,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,3.25 Crore",For Sale,House
,-,-,"KDA Scheme 1 Extension, Karachi, Sindh","PKR,20 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,11.25 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,2.1 Crore",For Sale,House
120 Sq. Yd.,4,5,"Gadap Town, Karachi, Sindh","PKR,1.75 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.65 Crore",For Sale,House
,6,9,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,6 Crore",For Sale,House
,6,9,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,5.5 Crore",For Sale,House
80 Sq. Yd.,4,4,"Gadap Town, Karachi, Sindh","PKR,96 Lakh",For Sale,House
222 Sq. Yd.,4,3,"Callachi Cooperative Housing Society, Karachi, Sindh","PKR,4.2 Crore",For Sale,House
194 Sq. Yd.,2,2,"DHA Defence, Karachi, Sindh","PKR,9.36 Crore",For Sale,House
80 Sq. Yd.,2,2,"Gadap Town, Karachi, Sindh","PKR,88 Lakh",For Sale,House
251 Sq. Yd.,3,3,"DHA Defence, Karachi, Sindh","PKR,10 Crore",For Sale,House
240 Sq. Yd.,6,6,"Cantt, Karachi, Sindh","PKR,6.5 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,25 Crore",For Sale,House
500 Sq. Yd.,5,5,"Jamshed Town, Karachi, Sindh","PKR,13 Crore",For Sale,House
140 Sq. Yd.,3,3,"North Karachi, Karachi, Sindh","PKR,1.5 Crore",For Sale,House
375 Sq. Yd.,5,6,"Muslimabad Society, Karachi, Sindh","PKR,11 Crore",For Sale,House
240 Sq. Yd.,5,5,"Muslimabad Society, Karachi, Sindh","PKR,9.2 Crore",For Sale,House
122 Sq. Yd.,6,6,"North Nazimabad, Karachi, Sindh","PKR,3.4 Crore",For Sale,House
200 Sq. Yd.,6,6,"Jamshed Town, Karachi, Sindh","PKR,9.25 Crore",For Sale,House
166 Sq. Yd.,6,6,"Jamshed Town, Karachi, Sindh","PKR,7 Crore",For Sale,House
200 Sq. Yd.,3,3,"Federal B Area, Karachi, Sindh","PKR,3 Crore",For Sale,House
300 Sq. Yd.,6,6,"Federal B Area, Karachi, Sindh","PKR,8 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,16 Crore",For Sale,House
439 Sq. Yd.,5,5,"Jamshed Town, Karachi, Sindh","PKR,10.7 Crore",For Sale,House
200 Sq. Yd.,3,3,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,3.6 Crore",For Sale,House
233 Sq. Yd.,5,5,"Jamshed Town, Karachi, Sindh","PKR,5.7 Crore",For Sale,House
133 Sq. Yd.,3,5,"Nazimabad, Karachi, Sindh","PKR,4.8 Crore",For Sale,House
120 Sq. Yd.,5,4,"Gadap Town, Karachi, Sindh","PKR,1.75 Crore",For Sale,House
400 Sq. Yd.,-,-,"North Nazimabad, Karachi, Sindh","PKR,5.5 Crore",For Sale,House
120 Sq. Yd.,6,6,"North Karachi, Karachi, Sindh","PKR,2.6 Crore",For Sale,House
160 Sq. Yd.,5,4,"Naya Nazimabad, Karachi, Sindh","PKR,3.4 Crore",For Sale,House
240 Sq. Yd.,5,5,"Naya Nazimabad, Karachi, Sindh","PKR,3.9 Crore",For Sale,House
146 Sq. Yd.,4,4,"DHA City Karachi, Karachi, Sindh","PKR,1.8 Crore",For Sale,House
"1,000 Sq. Yd.",6,8,"North Nazimabad, Karachi, Sindh","PKR,13 Crore",For Sale,House
200 Sq. Yd.,4,4,"Clifton, Karachi, Sindh","PKR,5.25 Crore",For Sale,House
"1,600 Sq. Yd.",-,-,"North Nazimabad, Karachi, Sindh","PKR,22 Crore",For Sale,House
513 Sq. Yd.,6,7,"Bahria Town Karachi, Karachi, Sindh","PKR,8.2 Crore",For Sale,House
125 Sq. Yd.,,4,,"PKR,1.5 Crore,PKR,15.1 Lakh,PKR,2.81 Lakh","Bahria Town Karachi 2, Karachi, Sindh",House
500 Sq. Yd.,5,5,"Cantt, Karachi, Sindh","PKR,10.25 Crore",For Sale,House
120 Sq. Yd.,3,3,"Scheme 33, Karachi, Sindh","PKR,1.5 Crore",For Sale,House
500 Sq. Yd.,5,5,"Bahria Town Karachi, Karachi, Sindh","PKR,4 Crore",For Sale,House
125 Sq. Yd.,4,-,"DHA City Karachi, Karachi, Sindh","PKR,1.8 Crore",For Sale,House
160 Sq. Yd.,4,4,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,3.25 Crore",For Sale,House
200 Sq. Yd.,6,6,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,3.1 Crore",For Sale,House
240 Sq. Yd.,6,8,"Scheme 33, Karachi, Sindh","PKR,5.5 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,1.98 Crore",For Sale,House
120 Sq. Yd.,5,5,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,2.6 Crore",For Sale,House
750 Sq. Yd.,6,6,"Cantt, Karachi, Sindh","PKR,18.5 Crore",For Sale,House
750 Sq. Yd.,6,7,"Cantt, Karachi, Sindh","PKR,13.25 Crore",For Sale,House
120 Sq. Yd.,3,3,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,2.7 Crore",For Sale,House
300 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,7 Crore",For Sale,House
120 Sq. Yd.,3,3,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,2.3 Crore",For Sale,House
80 Sq. Yd.,2,2,"North Karachi, Karachi, Sindh","PKR,74 Lakh",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,15 Crore",For Sale,House
111 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,18 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
400 Sq. Yd.,-,6,"North Nazimabad, Karachi, Sindh","PKR,5.7 Crore",For Sale,House
